0,1,2,3,4,5,6,7,8,9,10,11
0.17293234,0.216836,0.29761326,0.21413904,0.17161538,0.1636395,0.15009518,0.1746938,0.17705905,0.1520304,0.1371353,0.28788936
0.0,0.13897566,0.13919841,0.20488915,0.2329064,0.17666674,0.16416618,0.1824409,0.19223042,0.0,0.2091565,0.0
0.19879523,0.19474477,0.1802937,0.19259658,0.17559521,0.15901917,0.17485482,0.20743024,0.14800374,0.16272342,0.17744583,0.14593142
0.11198204,0.16769712,0.13075976,0.104056224,0.18819378,0.1450384,0.29242212,0.17266376,0.18891956,0.0,0.15263392,0.13115418
0.31790528,0.17923583,0.1985889,0.0,0.17737575,0.20503935,0.14662206,0.20570347,0.13328023,0.18316005,0.23680717,0.19854024
0.12155473,0.16120291,0.2805085,0.18410912,0.0,0.1983448,0.16536692,0.2005064,0.24884583,0.21415435,0.18544021,0.16937117
0.10701834,0.2658768,0.13116397,0.26248387,0.25795817,0.15155259,0.0,0.163266,0.19837743,0.16688946,0.13471372,0.0
0.32419977,0.0,0.2112773,0.14325549,0.1419099,0.16241142,0.21816291,0.18283997,0.19788393,0.18482175,0.1881542,0.17355092
0.12845103,0.20833306,0.15881278,0.19407575,0.16545855,0.2487245,0.13905948,0.18613154,0.14380413,0.17461754,0.21336193,0.1570985
0.1257722,0.22083619,0.14682914,0.11775519,0.18018632,0.0,0.23785287,0.17243688,0.14352913,0.16194455,0.14388162,0.14641298
0.2613866,0.19078413,0.27522278,0.23929423,0.1652109,0.0,0.14524902,0.0,0.22863093,0.19042489,0.20446436,0.2154287
0.16280644,0.1469666,0.13027003,0.22717702,0.20546459,0.1674199,0.14934097,0.16207534,0.20578776,0.25314558,0.18929127,0.17268923
0.0,0.0,0.13774194,0.20822863,0.25898123,0.15368783,0.18436183,0.1752853,0.2040258,0.1757956,0.18605551,0.19602695
0.28143433,0.20812128,0.16398062,0.15142818,0.16852741,0.2148714,0.23372374,0.20054485,0.18654935,0.18703522,0.19556862,0.0
0.18067248,0.14080709,0.25706664,0.0,0.0,0.19369487,0.1605826,0.17044139,0.14258815,0.14276533,0.19184977,0.17839453
0.15208288,0.17037229,0.1942266,0.12399727,0.0,0.20682147,0.0,0.19371904,0.14330979,0.20665509,0.1222898,0.14353542
0.21280757,0.16003159,0.25636345,0.1465257,0.15985349,0.16045827,0.21379271,0.208305,0.24663241,0.14710625,0.21374558,0.16161075
0.21386668,0.18080112,0.15015712,0.23588291,0.23371479,0.1916306,0.15831383,0.18979964,0.20761372,0.22035763,0.20625708,0.19410202
0.09168369,0.28046146,0.16490869,0.30897006,0.21051285,0.17968942,0.22769779,0.1468439,0.14600603,0.1814303,0.1548258,0.26019466
0.1833082,0.12534897,0.17189255,0.13299249,0.17996095,0.1453468,0.1767553,0.18826528,0.2511082,0.17618196,0.0,0.17550728
0.25736207,0.19409573,0.0,0.0,0.1250748,0.22716455,0.17529225,0.18417831,0.11644096,0.17938,0.21854298,0.17616113
0.11343012,0.19058634,0.15376754,0.14220306,0.27739742,0.19949691,0.18221518,0.23089562,0.1564429,0.1937648,0.1538305,0.1737874
0.0,0.0,0.2340888,0.16175647,0.0,0.2049422,0.15401088,0.1477348,0.1480014,0.19153684,0.21215697,0.1996406
0.1906042,0.19141197,0.17196988,0.17236157,0.17067163,0.2265215,0.21702647,0.1872725,0.0,0.0,0.20760694,0.16460621
0.11375227,0.24131839,0.14885902,0.2750165,0.25655484,0.0997054,0.22566304,0.16283019,0.1861366,0.14297648,0.20412633,0.22571562
0.23955062,0.11815335,0.20590985,0.13105717,0.14543225,0.15901856,0.1857775,0.1621302,0.20771106,0.19272418,0.1563542,0.17826222
0.1586302,0.19293839,0.19651598,0.22871648,0.12251036,0.22142664,0.14641798,0.22024788,0.16733561,0.23640727,0.17703615,0.16909915
0.14080195,0.22766322,0.19658405,0.12096537,0.0,0.15817004,0.19108236,0.18617833,0.1615495,0.0,0.13756397,0.181692
0.16540556,0.18202047,0.23441559,0.24411052,0.0,0.18121463,0.18501271,0.18393898,0.22655956,0.0,0.19013503,0.23169051
0.19883277,0.17953822,0.2066768,0.21999143,0.21633531,0.20549957,0.16365236,0.17574064,0.230631,0.23444402,0.22419596,0.15951629
0.109454945,0.15164223,0.159351,0.0,0.2575981,0.17253232,0.0,0.19000585,0.16948108,0.14529315,0.0,0.15914454
0.2657573,0.17895648,0.16265628,0.1348911,0.15415086,0.1687804,0.23326805,0.17168297,0.20875081,0.26639095,0.16901852,0.20398279
0.23085873,0.19129056,0.15142745,0.15680866,0.0,0.22491418,0.16618824,0.20356427,0.11413913,0.16225047,0.1924721,0.17508498
0.10328621,0.17926021,0.1339154,0.15820277,0.20366639,0.18785678,0.14869794,0.2174994,0.0,0.14276586,0.0,0.15392381
0.18033075,0.15797368,0.21081455,0.22116998,0.19482534,0.16822645,0.21602859,0.17961375,0.2011973,0.0,0.26458266,0.22836453
0.22734816,0.15998782,0.16823146,0.20281039,0.1937458,0.22956537,0.0,0.24079184,0.23729311,0.16854587,0.0,0.13851431
0.16110854,0.20551373,0.18635774,0.16414873,0.0,0.15939134,0.18284228,0.11731935,0.21772073,0.09190767,0.111020446,0.19333944
0.22627293,0.12691107,0.2824639,0.2106696,0.0,0.0,0.2623826,0.14402899,0.18056776,0.25789705,0.0,0.2176756
0.21276462,0.28146455,0.0,0.15410972,0.19616114,0.2243298,0.15982398,0.21185778,0.13159977,0.24467573,0.17805746,0.17929359
0.24819921,0.17040291,0.16756272,0.15533772,0.15146229,0.0,0.26552364,0.17230648,0.16638735,0.19700882,0.20214686,0.22180669
0.21002981,0.1420322,0.25963908,0.20434949,0.2045222,0.22610444,0.18528758,0.0,0.1746233,0.11490797,0.0,0.17776208
0.18529841,0.2536243,0.1762258,0.24089384,0.18330386,0.21746287,0.1686023,0.2037951,0.20351943,0.1984216,0.18108864,0.16554014
0.20143898,0.071550414,0.1308695,0.14933217,0.23078874,0.0,0.17423744,0.18186787,0.22716995,0.1688499,0.17284723,0.16707723
0.17595233,0.25344676,0.21850036,0.22156487,0.20481534,0.2072913,0.1879355,0.17970832,0.16381688,0.1832213,0.21211445,0.15234748
0.09019254,0.22005458,0.15831375,0.13963307,0.1362188,0.176961,0.12952468,0.23868538,0.17559426,0.24870159,0.19990362,0.22657752
0.19915782,0.1681618,0.18672876,0.10098212,0.16602792,0.1658931,0.0,0.20354141,0.20903648,0.23723929,0.1996887,0.19419548
0.1647644,0.19864686,0.24974748,0.0,0.14868551,0.19188395,0.16349293,0.14523813,0.18871184,0.15222345,0.14509504,0.24272393
0.18107367,0.22264054,0.0,0.24251525,0.24208552,0.17509775,0.20962408,0.0,0.0,0.24229024,0.19447961,0.16517806
0.19906032,0.09258279,0.19542074,0.20881084,0.22659595,0.20956193,0.14033201,0.18862496,0.17481622,0.16962962,0.17520766,0.16569467
0.21816802,0.2349375,0.23375392,0.20711046,0.17028646,0.20101072,0.17141314,0.0,0.16972041,0.16700608,0.19305952,0.14936064
0.14888701,0.0,0.092998624,0.19474886,0.15742986,0.16766363,0.097470455,0.23633419,0.17983465,0.14272252,0.20358065,0.19395834
0.2260283,0.17893805,0.0,0.14015073,0.12704973,0.1372005,0.32894173,0.15774597,0.18971191,0.21157743,0.15233952,0.24694243
0.0,0.17344306,0.2975302,0.15510568,0.21854897,0.26996508,0.13329537,0.161907,0.17668876,0.15705895,0.0,0.17213947
0.18248548,0.13091952,0.18151352,0.21679765,0.2137517,0.17994209,0.22696446,0.2604571,0.21713808,0.19870313,0.22108555,0.18597783
0.18881673,0.09449329,0.0,0.21689776,0.0,0.1268423,0.14752734,0.0,0.24227165,0.15986876,0.15896322,0.0
0.0,0.315538,0.18097228,0.1686863,0.22199787,0.2323589,0.17017356,0.14704813,0.13225421,0.19669287,0.24083778,0.13518217
0.16501543,0.21777916,0.11527689,0.21347304,0.12663391,0.1648023,0.1042087,0.21080738,0.15304662,0.18721004,0.16751747,0.18941957
0.17205475,0.15945838,0.21181414,0.22684877,0.20658956,0.14766793,0.23256892,0.0,0.2111667,0.14150713,0.18989527,0.24812381
0.1960798,0.16944897,0.2091535,0.10955523,0.18337272,0.20658825,0.22257362,0.10190334,0.1710349,0.14372028,0.17779179,0.2026378
0.20885275,0.23783691,0.1697467,0.15769814,0.15767547,0.1869625,0.24388905,0.22835046,0.18786642,0.0,0.22004566,0.16611299
0.13570616,0.07966994,0.18553777,0.21088007,0.0,0.14439355,0.0,0.21148707,0.26883125,0.18593678,0.15345676,0.17311925
0.19139555,0.26345026,0.20235696,0.19679582,0.1871807,0.24407053,0.18115498,0.1050252,0.10677319,0.0,0.18564007,0.15452616
0.20702223,0.20124666,0.13250208,0.0,0.14637788,0.18142839,0.098301224,0.24697384,0.16543868,0.22519803,0.18428169,0.16659114
0.18439856,0.15553647,0.17805173,0.13412485,0.170258,0.15011166,0.2901407,0.21394531,0.20433716,0.22946031,0.19818097,0.17986606
0.15202165,0.0,0.18782282,0.14068142,0.16057512,0.2777411,0.12716562,0.132689,0.19171287,0.12836285,0.17406026,0.0
0.21966498,0.18068129,0.14605321,0.21896742,0.21320939,0.16374455,0.3053238,0.18841034,0.20056668,0.22371368,0.21467008,0.14354011
